| Year 1, Spring, day 60 8:00:00 AM | evac shelter | Russel Talley began their journey into the Cataclysm.
| Year 1, Summer, day 16 9:24:11 PM | farm house | Overcame addiction to caffeine.
| Year 1, Summer, day 17 4:23:18 AM | farm house | Reached skill level 8 in fabrication.
| Year 1, Summer, day 17 6:03:33 AM | subway | Threw up.
| Year 1, Summer, day 17 6:03:52 AM | subway | Threw up.
| Year 1, Summer, day 17 6:04:53 AM | subway | Threw up.
| Year 1, Summer, day 17 6:06:17 AM | subway | Threw up.
| Year 1, Summer, day 17 6:08:30 AM | subway | Threw up.
| Year 1, Summer, day 17 8:50:19 AM | science lab | Killed a kevlar hulk.
| Year 1, Summer, day 17 11:44:42PM | subway station (sewer level) | Worn <color_c_dark_gray>XX </color>duffel bag was completely destroyed.
| Year 1, Summer, day 18 6:55:44 AM | field | Killed a mi-go.
| Year 1, Summer, day 18 7:09:04 AM | field | Killed a mi-go.
| Year 1, Summer, day 18 7:09:21 AM | field | Killed a mi-go.
| Year 1, Summer, day 18 7:10:24 AM | field | Killed a mi-go.
| Year 1, Summer, day 18 7:17:37 AM | field | Killed a mi-go.
| Year 1, Summer, day 18 7:41:08 AM | field | Killed a mi-go.
| Year 1, Summer, day 19 1:28:19 PM | science lab | Installed bionic: Leukocyte Breeder System.
| Year 1, Summer, day 19 4:28:22 PM | science lab | Installed bionic: Muscle Augmentation.
| Year 1, Summer, day 19 7:48:27 PM | science lab | Installed bionic: Enhanced Memory Banks.
| Year 1, Summer, day 19 10:18:28PM | science lab | Installed bionic: Remote Controller.
| Year 1, Summer, day 20 12:08:29AM | science lab | Installed bionic: Directional EMP.
| Year 1, Summer, day 20 1:38:30 AM | science lab | Failed install of bionic: Finger Lighter.
| Year 1, Summer, day 20 3:59:14 AM | science lab | Installed bionic: Fingerhack.
| Year 1, Summer, day 20 4:29:15 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 4:49:16 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 5:52:04 AM | science lab | Installed bionic: Finger Lighter.
| Year 1, Summer, day 20 6:42:05 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 7:02:06 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 7:22:07 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 7:42:08 AM | science lab | Installed bionic: Power Storage.
| Year 1, Summer, day 20 8:02:09 AM | science lab | Installed bionic: Power Storage.
